Date,DateKey,Year,Quarter,QuarterName,Month,MonthName,MonthShort,YearMonth,Day,DayOfWeek,DayName,IsWeekend,_gold_built_at
2021-02-15,20210215,2021,1,Q1,2,February,Feb,2021-02,15,1,Monday,False,2026-06-24 00:14:59.277238
2021-02-16,20210216,2021,1,Q1,2,February,Feb,2021-02,16,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-02-17,20210217,2021,1,Q1,2,February,Feb,2021-02,17,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-02-18,20210218,2021,1,Q1,2,February,Feb,2021-02,18,4,Thursday,False,2026-06-24 00:14:59.277238
2021-02-19,20210219,2021,1,Q1,2,February,Feb,2021-02,19,5,Friday,False,2026-06-24 00:14:59.277238
2021-02-20,20210220,2021,1,Q1,2,February,Feb,2021-02,20,6,Saturday,True,2026-06-24 00:14:59.277238
2021-02-21,20210221,2021,1,Q1,2,February,Feb,2021-02,21,7,Sunday,True,2026-06-24 00:14:59.277238
2021-02-22,20210222,2021,1,Q1,2,February,Feb,2021-02,22,1,Monday,False,2026-06-24 00:14:59.277238
2021-02-23,20210223,2021,1,Q1,2,February,Feb,2021-02,23,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-02-24,20210224,2021,1,Q1,2,February,Feb,2021-02,24,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-02-25,20210225,2021,1,Q1,2,February,Feb,2021-02,25,4,Thursday,False,2026-06-24 00:14:59.277238
2021-02-26,20210226,2021,1,Q1,2,February,Feb,2021-02,26,5,Friday,False,2026-06-24 00:14:59.277238
2021-02-27,20210227,2021,1,Q1,2,February,Feb,2021-02,27,6,Saturday,True,2026-06-24 00:14:59.277238
2021-02-28,20210228,2021,1,Q1,2,February,Feb,2021-02,28,7,Sunday,True,2026-06-24 00:14:59.277238
2021-03-01,20210301,2021,1,Q1,3,March,Mar,2021-03,1,1,Monday,False,2026-06-24 00:14:59.277238
2021-03-02,20210302,2021,1,Q1,3,March,Mar,2021-03,2,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-03-03,20210303,2021,1,Q1,3,March,Mar,2021-03,3,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-03-04,20210304,2021,1,Q1,3,March,Mar,2021-03,4,4,Thursday,False,2026-06-24 00:14:59.277238
2021-03-05,20210305,2021,1,Q1,3,March,Mar,2021-03,5,5,Friday,False,2026-06-24 00:14:59.277238
2021-03-06,20210306,2021,1,Q1,3,March,Mar,2021-03,6,6,Saturday,True,2026-06-24 00:14:59.277238
2021-03-07,20210307,2021,1,Q1,3,March,Mar,2021-03,7,7,Sunday,True,2026-06-24 00:14:59.277238
2021-03-08,20210308,2021,1,Q1,3,March,Mar,2021-03,8,1,Monday,False,2026-06-24 00:14:59.277238
2021-03-09,20210309,2021,1,Q1,3,March,Mar,2021-03,9,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-03-10,20210310,2021,1,Q1,3,March,Mar,2021-03,10,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-03-11,20210311,2021,1,Q1,3,March,Mar,2021-03,11,4,Thursday,False,2026-06-24 00:14:59.277238
2021-03-12,20210312,2021,1,Q1,3,March,Mar,2021-03,12,5,Friday,False,2026-06-24 00:14:59.277238
2021-03-13,20210313,2021,1,Q1,3,March,Mar,2021-03,13,6,Saturday,True,2026-06-24 00:14:59.277238
2021-03-14,20210314,2021,1,Q1,3,March,Mar,2021-03,14,7,Sunday,True,2026-06-24 00:14:59.277238
2021-03-15,20210315,2021,1,Q1,3,March,Mar,2021-03,15,1,Monday,False,2026-06-24 00:14:59.277238
2021-03-16,20210316,2021,1,Q1,3,March,Mar,2021-03,16,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-03-17,20210317,2021,1,Q1,3,March,Mar,2021-03,17,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-03-18,20210318,2021,1,Q1,3,March,Mar,2021-03,18,4,Thursday,False,2026-06-24 00:14:59.277238
2021-03-19,20210319,2021,1,Q1,3,March,Mar,2021-03,19,5,Friday,False,2026-06-24 00:14:59.277238
2021-03-20,20210320,2021,1,Q1,3,March,Mar,2021-03,20,6,Saturday,True,2026-06-24 00:14:59.277238
2021-03-21,20210321,2021,1,Q1,3,March,Mar,2021-03,21,7,Sunday,True,2026-06-24 00:14:59.277238
2021-03-22,20210322,2021,1,Q1,3,March,Mar,2021-03,22,1,Monday,False,2026-06-24 00:14:59.277238
2021-03-23,20210323,2021,1,Q1,3,March,Mar,2021-03,23,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-03-24,20210324,2021,1,Q1,3,March,Mar,2021-03,24,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-03-25,20210325,2021,1,Q1,3,March,Mar,2021-03,25,4,Thursday,False,2026-06-24 00:14:59.277238
2021-03-26,20210326,2021,1,Q1,3,March,Mar,2021-03,26,5,Friday,False,2026-06-24 00:14:59.277238
2021-03-27,20210327,2021,1,Q1,3,March,Mar,2021-03,27,6,Saturday,True,2026-06-24 00:14:59.277238
2021-03-28,20210328,2021,1,Q1,3,March,Mar,2021-03,28,7,Sunday,True,2026-06-24 00:14:59.277238
2021-03-29,20210329,2021,1,Q1,3,March,Mar,2021-03,29,1,Monday,False,2026-06-24 00:14:59.277238
2021-03-30,20210330,2021,1,Q1,3,March,Mar,2021-03,30,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-03-31,20210331,2021,1,Q1,3,March,Mar,2021-03,31,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-04-01,20210401,2021,2,Q2,4,April,Apr,2021-04,1,4,Thursday,False,2026-06-24 00:14:59.277238
2021-04-02,20210402,2021,2,Q2,4,April,Apr,2021-04,2,5,Friday,False,2026-06-24 00:14:59.277238
2021-04-03,20210403,2021,2,Q2,4,April,Apr,2021-04,3,6,Saturday,True,2026-06-24 00:14:59.277238
2021-04-04,20210404,2021,2,Q2,4,April,Apr,2021-04,4,7,Sunday,True,2026-06-24 00:14:59.277238
2021-04-05,20210405,2021,2,Q2,4,April,Apr,2021-04,5,1,Monday,False,2026-06-24 00:14:59.277238
2021-04-06,20210406,2021,2,Q2,4,April,Apr,2021-04,6,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-04-07,20210407,2021,2,Q2,4,April,Apr,2021-04,7,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-04-08,20210408,2021,2,Q2,4,April,Apr,2021-04,8,4,Thursday,False,2026-06-24 00:14:59.277238
2021-04-09,20210409,2021,2,Q2,4,April,Apr,2021-04,9,5,Friday,False,2026-06-24 00:14:59.277238
2021-04-10,20210410,2021,2,Q2,4,April,Apr,2021-04,10,6,Saturday,True,2026-06-24 00:14:59.277238
2021-04-11,20210411,2021,2,Q2,4,April,Apr,2021-04,11,7,Sunday,True,2026-06-24 00:14:59.277238
2021-04-12,20210412,2021,2,Q2,4,April,Apr,2021-04,12,1,Monday,False,2026-06-24 00:14:59.277238
2021-04-13,20210413,2021,2,Q2,4,April,Apr,2021-04,13,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-04-14,20210414,2021,2,Q2,4,April,Apr,2021-04,14,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-04-15,20210415,2021,2,Q2,4,April,Apr,2021-04,15,4,Thursday,False,2026-06-24 00:14:59.277238
2021-04-16,20210416,2021,2,Q2,4,April,Apr,2021-04,16,5,Friday,False,2026-06-24 00:14:59.277238
2021-04-17,20210417,2021,2,Q2,4,April,Apr,2021-04,17,6,Saturday,True,2026-06-24 00:14:59.277238
2021-04-18,20210418,2021,2,Q2,4,April,Apr,2021-04,18,7,Sunday,True,2026-06-24 00:14:59.277238
2021-04-19,20210419,2021,2,Q2,4,April,Apr,2021-04,19,1,Monday,False,2026-06-24 00:14:59.277238
2021-04-20,20210420,2021,2,Q2,4,April,Apr,2021-04,20,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-04-21,20210421,2021,2,Q2,4,April,Apr,2021-04,21,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-04-22,20210422,2021,2,Q2,4,April,Apr,2021-04,22,4,Thursday,False,2026-06-24 00:14:59.277238
2021-04-23,20210423,2021,2,Q2,4,April,Apr,2021-04,23,5,Friday,False,2026-06-24 00:14:59.277238
2021-04-24,20210424,2021,2,Q2,4,April,Apr,2021-04,24,6,Saturday,True,2026-06-24 00:14:59.277238
2021-04-25,20210425,2021,2,Q2,4,April,Apr,2021-04,25,7,Sunday,True,2026-06-24 00:14:59.277238
2021-04-26,20210426,2021,2,Q2,4,April,Apr,2021-04,26,1,Monday,False,2026-06-24 00:14:59.277238
2021-04-27,20210427,2021,2,Q2,4,April,Apr,2021-04,27,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-04-28,20210428,2021,2,Q2,4,April,Apr,2021-04,28,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-04-29,20210429,2021,2,Q2,4,April,Apr,2021-04,29,4,Thursday,False,2026-06-24 00:14:59.277238
2021-04-30,20210430,2021,2,Q2,4,April,Apr,2021-04,30,5,Friday,False,2026-06-24 00:14:59.277238
2021-05-01,20210501,2021,2,Q2,5,May,May,2021-05,1,6,Saturday,True,2026-06-24 00:14:59.277238
2021-05-02,20210502,2021,2,Q2,5,May,May,2021-05,2,7,Sunday,True,2026-06-24 00:14:59.277238
2021-05-03,20210503,2021,2,Q2,5,May,May,2021-05,3,1,Monday,False,2026-06-24 00:14:59.277238
2021-05-04,20210504,2021,2,Q2,5,May,May,2021-05,4,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-05-05,20210505,2021,2,Q2,5,May,May,2021-05,5,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-05-06,20210506,2021,2,Q2,5,May,May,2021-05,6,4,Thursday,False,2026-06-24 00:14:59.277238
2021-05-07,20210507,2021,2,Q2,5,May,May,2021-05,7,5,Friday,False,2026-06-24 00:14:59.277238
2021-05-08,20210508,2021,2,Q2,5,May,May,2021-05,8,6,Saturday,True,2026-06-24 00:14:59.277238
2021-05-09,20210509,2021,2,Q2,5,May,May,2021-05,9,7,Sunday,True,2026-06-24 00:14:59.277238
2021-05-10,20210510,2021,2,Q2,5,May,May,2021-05,10,1,Monday,False,2026-06-24 00:14:59.277238
2021-05-11,20210511,2021,2,Q2,5,May,May,2021-05,11,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-05-12,20210512,2021,2,Q2,5,May,May,2021-05,12,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-05-13,20210513,2021,2,Q2,5,May,May,2021-05,13,4,Thursday,False,2026-06-24 00:14:59.277238
